url,has_icon,favicon_diff_domain,favicon_invalid_ext,anchor_tags_present,anchor_empty_href,anchor_diff_domain,meta_external,meta_sus_words,script_external,script_sus_words,link_external,total_external,total_resources,external_resources,sfh_total_forms,sfh_blank_action,sfh_diff_domain,sfh_password_inputs,sfh_suspicious_inputs,iframe_src_count,iframe_src_hidden,iframe_src_size,iframe_src_diff_domain,iframe_src_no_sandbox,iframe_srcdoc_count,iframe_srcdoc_hidden,iframe_srcdoc_scripts,iframe_srcdoc_sus_words,total_iframes,inline_scripts,high_risk_patterns,medium_risk_patterns,low_risk_patterns,sus_js_diff_domain,nlp_suspicious_words,analyze_textual_sus_words,onmouseover_scripts,onmouseover_tags,right_click_scripts,right_click_tags,label
https://delaware.gov,1,0,0,1,3,11,0,0,6,0,0,6,19,1,4,4,0,0,0,1,1,1,1,1,0,0,0,0,1,3,0,0,0,3,3,6,0,0,0,0,0
https://futurism.com,1,0,0,1,0,2,1,0,3,0,0,4,3,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,9,0,0,0,3,5,4,0,0,0,0,0
https://edaily.co.kr,1,0,0,1,1,12,0,0,3,0,0,3,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,2,3,1,3,0,0,0,0,0
https://bilibili.com,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
https://onrender.com,1,0,0,1,3,45,2,0,0,0,0,2,27,27,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,37,0,3,0,0,4,2,0,0,0,0,0
https://sc.edu,0,0,0,1,0,5,0,0,1,0,0,1,10,2,2,0,0,0,0,1,1,1,1,1,0,0,0,0,1,9,0,0,0,1,1,1,0,0,0,0,0
https://lite-host.in,1,0,0,1,6,54,0,0,1,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
https://biblestudytools.com,1,1,0,1,0,9,0,0,11,0,0,11,13,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,3,11,0,0,0,0,0
https://eldorado.ru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
https://hawaiinewsnow.com,1,14,14,1,0,28,3,0,5,0,0,8,43,43,0,0,0,0,0,3,1,1,3,1,0,0,0,0,3,20,1,1,0,5,3,8,0,0,0,0,0
https://libramemoria.com,1,0,0,1,1,5,0,0,10,0,0,10,28,2,4,2,0,2,0,1,1,1,1,1,0,0,0,0,1,15,0,2,0,10,2,10,0,0,0,0,0
https://smartbrief.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://premiumoutlets.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://3bb.co.th,0,0,0,1,0,20,0,0,2,0,0,2,70,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,21,0,0,0,2,2,2,0,11,0,0,0
https://lithium.com,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://gosuslugi.ru,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
https://hotdoc.com.au,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
https://spaggiari.eu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://ga.gov,1,0,0,1,10,18,7,0,2,0,0,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,9,0,0,0,0,0
https://sudouest.fr,1,0,0,1,20,42,3,0,0,0,0,3,176,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,7,0,1,0,0,2,3,0,0,0,0,0
https://disa.mil,1,0,0,1,0,9,0,0,2,0,0,2,12,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,2,0,0,0,0,0
https://news38.de,1,0,3,1,2,27,1,0,2,0,0,3,49,0,2,0,0,0,0,1,1,1,0,1,0,0,0,0,1,28,0,0,0,2,0,3,0,0,0,0,0
