url,URL Length,Subdomains,Hostname Length,IP,Shortener,Hyphens,At Signs,Query Parameters,Resources,Suspicious Characters,Final Domain,SSL Exists,SSL Valid,SSL Issuer,Domain Age,Domain Expiry,Domain Registrar,VT Reputation,VT Malicious,VT Suspicious,VT Undetected,VT Harmless,favicon Present,favicon Different Domains,favicon Invalid Type,Anchor Tags,Anchor Empty Hrefs,Anchor Different Domains,Anchor Different Domains Ratio,External Metas,External Metas Suspicious Words,External Metas Ratio,External Scripts,External Scripts Suspicious Words,External Scripts Ratio,External Links,External Links Ratio,Total Links,External Total,Resources Total,Resources External,Resources External Ratio,SFH Total,SFH Blank Actions,SFH Different Domains,SFH Passwords,SFH Suspicious Words,IFrame src,IFrame src Hidden,IFrame src Size,IFrame src Different Domains,IFrame src No Sandbox,IFrame External src Ratio,IFrame srcdoc,IFrame srcdoc Scripts,IFrame srcdoc Hidden,IFrame srcdoc Suspicious Words,IFrame Total,JS Total,JS Inline,JS External,JS High Risk Patterns,JS Medium Risk Patterns,JS Low Risk Patterns,JS Different Domains,JS Behave Ratio,JS Risk Patterns Ratio,JS OnMouseOver Scripts,JS OnMouseOver Tags,NLP,AR Meta Refresh,AR JS,AR Cross Domain,Hidden Login Forms,Right Click Scripts,Right Click Menu Tags
https://pub-995e99148a6e474e880114ea832a5a6d.r2.dev/OWA.html,52,1,43,0,0,1,0,0,1,0,r2.dev,1,1,Let's Encrypt,1028.84,67.16,"CloudFlare, Inc.",0,0,1,31,62,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://akshy49.github.io/netflix.in,28,1,17,0,0,0,0,0,1,0,github.io,1,1,Sectigo Limited,4483.65,629.35,MarkMonitor Inc.,0,0,0,29,65,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0.8,5,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
http://shivamd3v.github.io/Amazon-Clone,32,1,19,0,0,1,0,0,1,0,github.io,1,1,Sectigo Limited,4483.65,629.35,MarkMonitor Inc.,0,0,0,29,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
http://tough-gravel-afterthought.glitch.me/index.html?eta=i*@cse,57,1,35,0,0,2,1,1,1,1,glitch.me,1,1,Amazon,6177.68,31.32,MarkMonitor Inc.,0,2,0,31,61,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,3,5,2,1,0.5,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,4,2,2,0,2,3,2,1,2.5,0,0,19,0,1,0,1,0,0
https://mweeb.co.za/taxinvoice.html,27,0,11,0,0,0,0,0,1,0,mweeb.co.za,1,1,Let's Encrypt,13.45,351.55,Unknown,0,0,0,32,62,1,7,0,2,2,0,0,0,0,0,43,0,1,13,1,13,56,4,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,54,11,43,1,0,3,40,0.930232558,0.363636364,0,0,34,0,0,0,1,0,0
http://gameprox.cc/go/z2f413/03b4,26,0,11,0,0,0,0,0,3,0,gameprox.cc,1,1,Let's Encrypt,105.45,259.55,Unknown,0,21,2,24,47,1,1,0,1,0,0,0,0,0,0,1,0,0.2,1,0.25,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0
http://bafybeidrnzrbj4c5ijnot3j5q2rqbm2i25u4s2rwswa7cm3brf4s4qz45u.ipfs.dweb.link/rofi.html,84,2,74,0,0,0,0,0,1,0,dweb.link,1,1,Let's Encrypt,3035.41,251.59,"CSC Corporate Domains, Inc.",0,2,2,30,60,1,5,1,0,0,0,0,0,1,0,4,0,0.5,6,0.857142857,7,10,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,13,4,9,1,1,0,1,0.111111111,0.5,0,0,9,0,0,0,1,1,0
http://shah-m-hammad.github.io/Amazon-Clone,36,1,23,0,0,3,0,0,1,0,github.io,1,1,Sectigo Limited,4483.65,629.35,MarkMonitor Inc.,0,0,0,29,65,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0
http://veerajanane2002.github.io/amazonclone,37,1,25,0,0,0,0,0,1,0,github.io,1,1,Sectigo Limited,4483.65,629.35,MarkMonitor Inc.,0,0,0,29,65,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
https://icioud.com.vxazs.cn/mim/2hx2mq9xy812hiw0432j432751fh91672p53035z0utei40nw5.html,79,2,19,0,0,0,0,0,2,0,vxazs.cn,0,0,Unknown,6.02,358.98,ab8eedf01fefc4db,0,11,1,31,51,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,2,0,1,0,0,1,0,0,50,0,1,0,0,0,0
https://inl.cloud.vxazs.cn/mim/g64k5pa58d70765088951153tyxr536c2552523yw93a36u831.html,78,2,18,0,0,0,0,0,2,0,vxazs.cn,0,0,Unknown,6.02,358.98,ab8eedf01fefc4db,0,11,1,31,51,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,2,0,1,0,0,1,0,0,50,0,1,0,0,0,0
http://pub-7a3c847677154ea293772130b4bf072b.r2.dev/index.html,54,1,43,0,0,1,0,0,1,0,r2.dev,1,1,Let's Encrypt,1028.84,67.16,"CloudFlare, Inc.",0,0,1,31,62,1,1,0,2,2,0,0,0,0,0,6,0,1,1,1,1,7,96,96,1,5,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,1,4,0.666666667,1,0,0,30,0,0,0,5,0,0
https://clzte.ysohlo.es/t7x!BGcPbif1d/$3mail@b.c,40,1,15,0,0,0,1,0,2,1,ysohlo.es,0,0,Unknown,-1,-1,Unknown,0,8,2,27,57,0,0,0,7,0,3,0.428571429,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,3,0,0,0,1,0.333333333,0,0,0,3,0,0,0,0,0,0
http://aman291-as.github.io/Amazone-clone,34,1,20,0,0,2,0,0,1,0,github.io,1,1,Sectigo Limited,4483.65,629.35,MarkMonitor Inc.,0,0,0,29,65,0,0,0,32,11,5,0.238095238,0,0,0,1,0,1,1,1,1,2,66,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0
http://shreya2987.github.io/project-html,33,1,20,0,0,1,0,0,1,0,github.io,1,1,Sectigo Limited,4483.65,629.35,MarkMonitor Inc.,0,0,0,29,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
http://swastik-gupta30.github.io/Clone1,32,1,25,0,0,1,0,0,1,0,github.io,1,1,Sectigo Limited,4483.65,629.35,MarkMonitor Inc.,0,0,0,29,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
http://pub-f2f0d84a5af74a789c02138b3b5db34f.r2.dev/1abd20.htm,54,1,43,0,0,1,0,0,1,0,r2.dev,1,1,Let's Encrypt,1028.84,67.16,"CloudFlare, Inc.",0,0,1,31,62,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,1.5,0,0,14,0,0,0,0,0,0
http://pub-031ddc40616647b1bb4ed5407b93c015.r2.dev/index.html,54,1,43,0,0,1,0,0,1,0,r2.dev,1,1,Let's Encrypt,1028.84,67.16,"CloudFlare, Inc.",0,0,1,31,62,1,1,0,2,2,0,0,0,0,0,6,0,1,1,1,1,7,96,96,1,5,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,1,4,0.666666667,1,0,0,30,0,0,0,5,0,0
https://netcoinus-login-io.webflow.io/,29,1,29,0,0,2,0,0,0,0,webflow.io,1,1,Amazon,4423.36,1055.64,MarkMonitor Inc.,0,0,0,30,64,1,2,0,3,0,2,0.666666667,0,2,0,2,0,1,3,1,3,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,0.5,0,0,0,7,0,0,0,0,0,0
