url,has_icon,favicon_diff_domain,favicon_invalid_ext,anchor_tags_present,anchor_empty_href,anchor_diff_domain,meta_external,meta_sus_words,script_external,script_sus_words,link_external,total_external,total_resources,external_resources,sfh_total_forms,sfh_blank_action,sfh_diff_domain,sfh_password_inputs,sfh_suspicious_inputs,iframe_src_count,iframe_src_hidden,iframe_src_size,iframe_src_diff_domain,iframe_src_no_sandbox,iframe_srcdoc_count,iframe_srcdoc_hidden,iframe_srcdoc_scripts,iframe_srcdoc_sus_words,total_iframes,inline_scripts,high_risk_patterns,medium_risk_patterns,low_risk_patterns,sus_js_diff_domain,nlp_suspicious_words,analyze_textual_sus_words,dynamic_scripts_count,meta_refresh_redirect,window_location_redirect,final_url_diff_domain,hidden_forms_count,onmouseover_scripts,onmouseover_tags,right_click_scripts,right_click_tags,label
https://leagueofgraphs.com,1,2,0,1,8,32,2,0,20,0,0,22,218,216,3,3,0,0,0,4,0,2,1,4,0,0,0,0,4,23,0,1,0,20,3,22,49.0,0,1,0,1,0,0,0,0,0
https://videolan.org,1,0,0,1,0,20,0,0,3,0,0,3,32,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,2,3,11.0,0,0,0,1,0,0,0,0,0
https://meredith.com,1,0,0,1,0,12,2,0,2,0,0,4,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,24.0,0,0,1,0,0,0,0,0,0
https://chimpstatic.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
https://experian.co.uk,1,4,0,1,2,40,0,0,3,0,0,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,18,3,18.0,0,0,0,0,0,0,0,0,0
https://tatacliq.com,1,0,0,1,0,9,0,0,61,0,0,61,26,8,0,0,0,0,0,6,2,2,4,4,0,0,0,0,6,39,0,2,0,55,16,61,102.0,0,1,0,0,0,0,0,0,0
https://rosewoodhotels.com,1,0,0,1,599,8,0,0,9,0,0,9,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,9,0,0,0,9,5,9,30.0,0,0,0,0,0,0,0,0,0
https://its.porn,1,0,0,1,19,8,1,0,3,0,0,4,69,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,2,0,1,5,4,18.0,0,0,0,0,0,0,0,0,0
https://grab.com,1,0,0,1,15,17,0,0,6,0,0,6,14,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,22,0,3,0,6,9,6,64.0,0,1,0,0,0,0,0,0,0
https://vlxx.film,1,0,0,1,0,83,4,0,3,0,0,7,21,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,7,6.0,0,0,1,0,0,0,0,0,0
