url,has_icon,favicon_diff_domain,favicon_invalid_ext,anchor_tags_present,anchor_empty_href,anchor_diff_domain,anchor_diff_ratio,meta_external,meta_sus_words,external_meta_ratio,script_external,script_sus_words,external_script_ratio,total_links,external_link_count,ratio_extern_link,total_external,total_resources,external_resources,external_request_ratio,sfh_total_forms,sfh_blank_action,sfh_diff_domain,sfh_password_inputs,sfh_suspicious_inputs,iframe_src_count,iframe_src_hidden,iframe_src_size,iframe_src_diff_domain,iframe_src_no_sandbox,iframe_external_src_ratio,iframe_srcdoc_count,iframe_srcdoc_hidden,iframe_srcdoc_scripts,iframe_srcdoc_sus_words,total_iframes,inline_scripts,high_risk_patterns,medium_risk_patterns,low_risk_patterns,sus_js_diff_domain,sus_js_behave_ratio,risk_patterns_ratio,nlp_suspicious_words,onmouseover_scripts,onmouseover_tags,right_click_scripts,right_click_tags,validity
https://bit.ly/467y3gt,1,0,0,3.0,0,3,1.0,0,0,0.0,0,0,0.0,1,1,1.0,1.0,2,2,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,unsafe
https://bit.ly/3B8jJZw,1,0,0,3.0,0,3,1.0,0,0,0.0,0,0,0.0,1,1,1.0,1.0,2,2,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,unsafe
https://docs.google.com/presentation/d/e/2PACX-1vSgMEmrhST0oUlQzx_0CNiMWkXTzCEBQUzUhybubMGS5ijULSRM_kwuQ_8hvBGPE0b2Cgs7tWMj3j6b/pub?start=false&amp;loop=false&amp;delayms=3000,1,0,0,0.0,0,0,0.0,1,0,0.07142857142857142,0,0,0.0,5,3,0.6,4.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,18,0,1.0,0.0,0,0.0,0.05555555555555555,0,0,0,0.0,0.0,unsafe
https://tinyurl.com/2dphnn6b,1,0,0,24.0,0,0,0.0,0,0,0.0,4,0,1.0,12,1,0.08333333333333333,5.0,9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,12,0,0.0,0.0,4,0.3333333333333333,0.0,4,0,0,0.0,0.0,unsafe
https://www.dropbox.com/scl/fi/bplnox2siog02g7f00ntn/Welcome-to-New-Advanced-Security.paper?dl=0&rlkey=iz7l2hpch25yjxgkephuj1d66,1,1,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,18,18,1.0,19.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,77,0,0.0,14.0,1,0.012987012987012988,0.18181818181818182,0,0,0,0.0,0.0,unsafe
https://reurl.cc/5vN9Vv,1,1,0,20.0,0,14,0.7,0,0,0.0,12,0,0.7058823529411765,3,2,0.6666666666666666,14.0,2,2,1.0,0,0,0,0,0,1,0,0.0,1,1,1.0,0,0,0,0,1,4,1,0.0,0.0,12,3.0,0.25,1,0,0,0.0,0.0,unsafe
https://webmailbellaccount.weebly.com/,0,0,0,8.0,3,0,0.0,0,4,0.0,6,1,0.75,7,6,0.8571428571428571,12.0,4,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,16,0,0.0,0.0,5,0.3125,0.0,2,0,0,0.0,0.0,unsafe
https://huimerwaiyuerdsin.weebly.com/,0,0,0,3.0,0,0,0.0,1,0,0.14285714285714285,7,1,0.6363636363636364,6,5,0.8333333333333334,13.0,1,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,16,0,0.0,0.0,7,0.4375,0.0,0,0,0,0.0,0.0,unsafe
https://tinyurl.com/645UISIUHE,1,0,0,24.0,0,0,0.0,0,0,0.0,4,0,1.0,12,1,0.08333333333333333,5.0,9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,12,0,0.0,0.0,4,0.3333333333333333,0.0,4,0,0,0.0,0.0,unsafe
https://tinyurl.com/2y477fu8?uGN=mzZmV0ayul,1,0,0,24.0,0,0,0.0,0,0,0.0,4,0,1.0,12,1,0.08333333333333333,5.0,9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,12,0,0.0,0.0,4,0.3333333333333333,0.0,4,0,0,0.0,0.0,unsafe
